Source IP,Source Port,Destination IP,Destination Port,Protocol
103.43.90.19,443,192.168.122.197,46700,TCP
52.46.151.131,443,192.168.122.197,35686,TCP
192.168.122.197,57310,52.94.220.185,443,TCP
52.94.220.185,443,192.168.122.197,57302,TCP
192.168.122.197,48758,13.35.222.59,80,TCP
13.35.222.59,80,192.168.122.197,48758,TCP
192.168.122.197,42044,192.124.249.22,80,TCP
192.168.122.197,57312,52.94.220.185,443,TCP
192.124.249.22,80,192.168.122.197,42044,TCP
18.194.35.23,443,192.168.122.197,38424,TCP
192.168.122.197,37210,34.212.5.23,443,TCP
52.94.220.185,443,192.168.122.197,57310,TCP
103.43.90.19,443,192.168.122.197,46684,TCP
192.168.122.197,42052,192.124.249.22,80,TCP
192.168.122.197,35692,52.46.151.131,443,TCP
192.124.249.22,80,192.168.122.197,42052,TCP
192.168.122.197,33236,45.113.131.2,443,TCP
52.94.220.185,443,192.168.122.197,57312,TCP
103.43.90.19,443,192.168.122.197,46702,TCP
192.168.122.197,51576,104.18.21.226,80,TCP
104.18.21.226,80,192.168.122.197,51576,TCP
192.168.122.197,59296,23.90.68.235,443,TCP
45.113.131.2,443,192.168.122.197,33236,TCP
52.46.151.131,443,192.168.122.197,35692,TCP
23.90.68.235,443,192.168.122.197,59296,TCP
192.168.122.197,59312,23.90.68.235,443,TCP
103.43.90.19,443,192.168.122.197,46718,TCP
34.212.5.23,443,192.168.122.197,37210,TCP
23.90.68.235,443,192.168.122.197,59312,TCP
192.168.122.197,47376,104.82.203.184,443,TCP
192.168.122.197,47392,104.82.203.184,443,TCP
10.0.2.15,34640,20.189.173.6,443,TCP
20.189.173.6,443,10.0.2.15,34640,TCP
192.168.122.197,35540,34.117.237.239,443,TCP
192.168.122.197,52036,34.117.65.55,443,TCP
192.168.122.197,52298,34.149.100.209,443,TCP
34.117.237.239,443,192.168.122.197,35540,TCP
34.117.65.55,443,192.168.122.197,52036,TCP
34.149.100.209,443,192.168.122.197,52298,TCP
104.82.203.184,443,192.168.122.197,47376,TCP
104.82.203.184,443,192.168.122.197,47392,TCP
192.168.122.197,50784,172.217.174.232,443,TCP
192.168.122.197,53494,35.190.14.188,443,TCP
172.217.174.232,443,192.168.122.197,50784,TCP
35.190.14.188,443,192.168.122.197,53494,TCP
192.168.122.197,60222,142.250.183.40,443,TCP
142.250.183.40,443,192.168.122.197,60222,TCP
192.168.122.197,56298,23.32.176.12,443,TCP
192.168.122.197,56310,23.32.176.12,443,TCP
192.168.122.197,56324,23.32.176.12,443,TCP
192.168.122.197,56338,23.32.176.12,443,TCP
192.168.122.197,56344,23.32.176.12,443,TCP
192.168.122.197,56354,23.32.176.12,443,TCP
192.168.122.197,56358,23.32.176.12,443,TCP
23.32.176.12,443,192.168.122.197,56358,TCP
23.32.176.12,443,192.168.122.197,56354,TCP
23.32.176.12,443,192.168.122.197,56344,TCP
23.32.176.12,443,192.168.122.197,56298,TCP
23.32.176.12,443,192.168.122.197,56338,TCP
23.32.176.12,443,192.168.122.197,56324,TCP
23.32.176.12,443,192.168.122.197,56310,TCP
192.168.122.197,54174,67.220.224.105,443,TCP
192.168.122.197,54180,67.220.224.105,443,TCP
67.220.224.105,443,192.168.122.197,54174,TCP
67.220.224.105,443,192.168.122.197,54180,TCP
192.168.122.197,47408,104.82.203.184,443,TCP
192.168.122.197,47416,104.82.203.184,443,TCP
104.82.203.184,443,192.168.122.197,47416,TCP
104.82.203.184,443,192.168.122.197,47408,TCP
192.168.122.197,42792,35.241.3.184,443,TCP
192.168.122.197,42804,35.241.3.184,443,TCP
35.241.3.184,443,192.168.122.197,42804,TCP
35.241.3.184,443,192.168.122.197,42792,TCP
192.168.122.197,42450,34.120.238.166,443,TCP
192.168.122.197,42456,34.120.238.166,443,TCP
192.168.122.197,43918,35.201.111.240,443,TCP
192.168.122.197,43932,35.201.111.240,443,TCP
192.168.122.197,50858,142.250.192.4,443,TCP
34.120.238.166,443,192.168.122.197,42450,TCP
34.120.238.166,443,192.168.122.197,42456,TCP
35.201.111.240,443,192.168.122.197,43932,TCP
192.168.122.197,38820,13.107.21.200,443,TCP
13.107.21.200,443,192.168.122.197,38820,TCP
192.168.122.197,57794,178.250.7.2,443,TCP
192.168.122.197,45150,151.101.1.195,443,TCP
192.168.122.197,33640,27.123.43.205,443,TCP
192.168.122.197,48690,35.190.0.66,443,TCP
151.101.1.195,443,192.168.122.197,45150,TCP
35.190.0.66,443,192.168.122.197,48690,TCP
27.123.43.205,443,192.168.122.197,33640,TCP
178.250.7.2,443,192.168.122.197,57794,TCP
192.168.122.197,45866,35.201.93.216,443,TCP
35.201.93.216,443,192.168.122.197,45866,TCP
192.168.122.197,40272,34.95.108.180,443,TCP
34.95.108.180,443,192.168.122.197,40272,TCP
192.168.122.197,50868,142.250.192.4,443,TCP
142.250.192.4,443,192.168.122.197,50868,TCP
35.201.111.240,443,192.168.122.197,43918,TCP
142.250.192.4,443,192.168.122.197,50858,TCP
192.168.122.197,33642,27.123.43.205,443,TCP
192.168.122.197,40926,142.250.183.195,80,TCP
142.250.183.195,80,192.168.122.197,40926,TCP
27.123.43.205,443,192.168.122.197,33642,TCP
192.168.122.197,34926,216.239.32.181,443,TCP
192.168.122.197,36024,142.250.183.3,443,TCP
216.239.32.181,443,192.168.122.197,34926,TCP
142.250.183.3,443,192.168.122.197,36024,TCP
192.168.122.197,60224,35.190.80.55,443,TCP
192.168.122.197,60226,35.190.80.55,443,TCP
35.190.80.55,443,192.168.122.197,60224,TCP
35.190.80.55,443,192.168.122.197,60226,TCP
192.168.122.197,51022,74.125.200.156,443,TCP
192.168.122.197,53942,31.13.79.35,443,TCP
192.168.122.197,48756,142.250.66.2,443,TCP
192.168.122.197,48764,142.250.66.2,443,TCP
192.168.122.197,55966,142.250.192.102,443,TCP
192.168.122.197,40090,31.13.79.26,443,TCP
31.13.79.35,443,192.168.122.197,53942,TCP
142.250.66.2,443,192.168.122.197,48756,TCP
142.250.66.2,443,192.168.122.197,48764,TCP
142.250.192.102,443,192.168.122.197,55966,TCP
192.168.122.197,41390,103.132.192.30,443,TCP
192.168.122.197,41392,103.132.192.30,443,TCP
31.13.79.26,443,192.168.122.197,40090,TCP
74.125.200.156,443,192.168.122.197,51022,TCP
192.168.122.197,51430,106.10.236.146,443,TCP
192.168.122.197,51436,106.10.236.146,443,TCP
192.168.122.197,43618,107.178.244.119,443,TCP
192.168.122.197,56592,108.158.56.121,443,TCP
107.178.244.119,443,192.168.122.197,43618,TCP
108.158.56.121,443,192.168.122.197,56592,TCP
192.168.122.197,48776,142.250.66.2,443,TCP
142.250.66.2,443,192.168.122.197,48776,TCP
103.132.192.30,443,192.168.122.197,41392,TCP
103.132.192.30,443,192.168.122.197,41390,TCP
106.10.236.146,443,192.168.122.197,51436,TCP
106.10.236.146,443,192.168.122.197,51430,TCP
192.168.122.197,42504,108.159.61.32,443,TCP
108.159.61.32,443,192.168.122.197,42504,TCP
192.168.122.197,44054,103.102.166.224,443,TCP
192.168.122.197,58326,52.59.131.50,443,TCP
103.102.166.224,443,192.168.122.197,44054,TCP
52.59.131.50,443,192.168.122.197,58326,TCP
192.168.122.197,54882,50.116.239.135,443,TCP
192.168.122.197,36254,142.250.183.162,443,TCP
142.250.183.162,443,192.168.122.197,36254,TCP
50.116.239.135,443,192.168.122.197,54882,TCP
192.168.122.197,52998,3.18.180.152,443,TCP
192.168.122.197,40980,185.15.58.240,443,TCP
192.168.122.197,50060,207.65.33.82,443,TCP
192.168.122.197,39458,213.19.162.80,443,TCP
192.168.122.197,33462,172.217.160.194,443,TCP
192.168.122.197,33476,172.217.160.194,443,TCP
192.168.122.197,33492,172.217.160.194,443,TCP
192.168.122.197,39614,18.196.227.200,443,TCP
192.168.122.197,54586,203.195.121.142,443,TCP
192.168.122.197,56596,3.33.220.150,443,TCP
172.217.160.194,443,192.168.122.197,33476,TCP
172.217.160.194,443,192.168.122.197,33462,TCP
3.33.220.150,443,192.168.122.197,56596,TCP
172.217.160.194,443,192.168.122.197,33492,TCP
3.18.180.152,443,192.168.122.197,52998,TCP
207.65.33.82,443,192.168.122.197,50060,TCP
203.195.121.142,443,192.168.122.197,54586,TCP
185.15.58.240,443,192.168.122.197,40980,TCP
18.196.227.200,443,192.168.122.197,39614,TCP
192.168.122.197,38568,54.229.130.135,443,TCP
192.168.122.197,39220,103.43.90.117,443,TCP
192.168.122.197,39228,103.43.90.117,443,TCP
192.168.122.197,39242,103.43.90.117,443,TCP
192.168.122.197,35722,142.250.67.226,443,TCP
213.19.162.80,443,192.168.122.197,39458,TCP
142.250.67.226,443,192.168.122.197,35722,TCP
192.168.122.197,37860,104.118.20.224,443,TCP
54.229.130.135,443,192.168.122.197,38568,TCP
192.168.122.197,39246,103.43.90.117,443,TCP
192.168.122.197,39254,103.43.90.117,443,TCP
192.168.122.197,39256,103.43.90.117,443,TCP
103.43.90.117,443,192.168.122.197,39242,TCP
103.43.90.117,443,192.168.122.197,39220,TCP
103.43.90.117,443,192.168.122.197,39228,TCP
104.118.20.224,443,192.168.122.197,37860,TCP
103.43.90.117,443,192.168.122.197,39246,TCP
103.43.90.117,443,192.168.122.197,39256,TCP
103.43.90.117,443,192.168.122.197,39254,TCP
192.168.122.197,48032,18.161.83.157,443,TCP
192.168.122.197,48046,18.161.83.157,443,TCP
18.161.83.157,443,192.168.122.197,48032,TCP
18.161.83.157,443,192.168.122.197,48046,TCP
192.168.122.197,57860,96.16.109.64,443,TCP
192.168.122.197,57866,96.16.109.64,443,TCP
96.16.109.64,443,192.168.122.197,57860,TCP
96.16.109.64,443,192.168.122.197,57866,TCP
192.168.122.197,39412,182.161.73.136,443,TCP
182.161.73.136,443,192.168.122.197,39412,TCP
192.168.122.197,39428,182.161.73.136,443,TCP
182.161.73.136,443,192.168.122.197,39428,TCP
192.168.122.197,32776,192.168.122.1,53,TCP
192.168.122.197,32782,192.168.122.1,53,TCP
192.168.122.1,53,192.168.122.197,32776,TCP
192.168.122.1,53,192.168.122.197,32782,TCP
192.168.122.197,32790,192.168.122.1,53,TCP
192.168.122.1,53,192.168.122.197,32790,TCP
192.168.122.197,32806,192.168.122.1,53,TCP
192.168.122.1,53,192.168.122.197,32806,TCP
192.168.122.197,46726,116.213.23.25,443,TCP
192.168.122.197,51214,116.213.23.42,443,TCP
116.213.23.42,443,192.168.122.197,51214,TCP
116.213.23.25,443,192.168.122.197,46726,TCP
192.168.122.197,41998,34.102.175.117,443,TCP
192.168.122.197,42000,34.102.175.117,443,TCP
34.102.175.117,443,192.168.122.197,41998,TCP
34.102.175.117,443,192.168.122.197,42000,TCP
192.168.122.197,51268,182.161.73.146,443,TCP
182.161.73.146,443,192.168.122.197,51268,TCP
192.168.122.197,57782,35.186.212.60,443,TCP
35.186.212.60,443,192.168.122.197,57782,TCP
192.168.122.197,60186,44.232.249.159,443,TCP
192.168.122.197,60190,44.232.249.159,443,TCP
44.232.249.159,443,192.168.122.197,60186,TCP
192.168.122.197,35834,172.217.174.78,443,TCP
172.217.174.78,443,192.168.122.197,35834,TCP
44.232.249.159,443,192.168.122.197,60190,TCP
192.168.122.197,58820,142.250.75.246,443,TCP
192.168.122.197,56406,172.217.171.234,443,TCP
192.168.122.197,58834,142.250.75.246,443,TCP
192.168.122.197,56420,172.217.171.234,443,TCP
